// A, B, sel, flagin, c, z, result

A5AAAAAA 5555555A 0 0 0 0 0500000A
AAAAAAAA 55555554 1 0 0 0 FFFFFFFE
22222222 33333333 2 0 0 0 55555555
29358AFA FEFFBCBC 3 0 0 0 29358AFB
29358AFA FEFFBCBC 3 1 0 0 FEFFBCBD
29358AFA FEFFBCBC 4 0 0 0 29358AF9
29358AFA FEFFBCBC 4 1 0 0 FEFFBCBB
29358AFA FEFFBCBC 5 0 0 0 D6CA7505
29358AFA FEFFBCBC 5 1 0 0 01004343
33333333 22222232 6 0 0 0 11111101
67FFFFFF 96111111 7 0 0 0 F1EEEEEE
0000BEEF 00000004 8 0 0 0 000BEEF0
000BEEF0 00000004 8 1 0 0 00BEEF0F
BEEF0000 00000004 9 0 0 0 0BEEF000
0BEEF000 00000004 9 1 0 0 F0BEEF00
